basin,WaterYear,site_name,sampsize,totalyield,totalyield_z
Paine Run,2018,South River Harriston NWIS,365,545.0038400493679,0.6732478363758485
Paine Run,2019,South River Harriston NWIS,365,743.6232356894687,1.9142943561940475
Paine Run,2020,South River Harriston NWIS,366,398.91639522627304,-0.23955987005456372
Paine Run,2021,South River Harriston NWIS,365,502.2830874497709,0.40631297250276643
Paine Run,2022,South River Harriston NWIS,365,326.5949559479478,-0.6914506344753951
Paine Run,2023,South River Harriston NWIS,365,330.92999148349315,-0.6643637492931176
Paine Run,2024,South River Harriston NWIS,366,419.00486702034493,-0.11403976196968384
Piney River,1971,Battle Run NWIS,365,382.41426924966424,0.11596679901066947
Piney River,1972,Battle Run NWIS,366,480.046221505595,0.7274286047362102
Piney River,1973,Battle Run NWIS,365,589.8536093051428,1.41514427644488
Piney River,1974,Battle Run NWIS,365,288.54691157662484,-0.4719176250453421
Piney River,1975,Battle Run NWIS,365,447.87398594844035,0.525936236782355
Piney River,1976,Battle Run NWIS,366,329.6125533211391,-0.2147265019122543
Piney River,1977,Battle Run NWIS,365,345.8473216930498,-0.11304933009659592
Piney River,1978,Battle Run NWIS,365,509.31134940002283,0.910713969144446
Piney River,1979,Battle Run NWIS,365,604.7296526724716,1.5083118525227803
Piney River,1980,Battle Run NWIS,366,576.5189920410984,1.3316305397784471
Piney River,1981,Battle Run NWIS,365,122.53239117713859,-1.5116544742484477
Piney River,1982,Battle Run NWIS,365,259.17889989715593,-0.6558473431055071
Piney River,1983,Battle Run NWIS,365,421.346811593291,0.3597984759653214
Piney River,1984,Battle Run NWIS,366,590.2819866307586,1.4178271724333402
Piney River,1985,Battle Run NWIS,365,181.38960504443443,-1.143036030801468
Piney River,1986,Battle Run NWIS,365,325.53601217292743,-0.24025758219902138
Piney River,1987,Battle Run NWIS,365,330.09951216136915,-0.21167671416468836
Piney River,1988,Battle Run NWIS,366,310.6467879648103,-0.333507708922721
Piney River,1989,Battle Run NWIS,365,220.27015629384115,-0.8995299702830223
Piney River,1990,Battle Run NWIS,365,286.8919837887753,-0.48228231724007786
Piney River,1991,Battle Run NWIS,365,382.2626895806001,0.11501746658398336
Piney River,1992,Battle Run NWIS,366,239.77780066035078,-0.777355014500828
Piney River,1993,Battle Run NWIS,365,646.1592320765262,1.7677822907093121
Piney River,1994,Battle Run NWIS,365,545.2657539944531,1.1358937862955625
Piney River,1995,NA,NA,NA,NA
Piney River,1996,NA,NA,NA,NA
Piney River,1997,NA,NA,NA,NA
Piney River,1998,Battle Run NWIS,365,625.5356098566173,1.638618046916155
Piney River,1999,Battle Run NWIS,365,178.97934185252876,-1.1581313336151728
Piney River,2000,Battle Run NWIS,366,261.11977870321573,-0.6436917605116369
Piney River,2001,Battle Run NWIS,365,243.47575877036854,-0.7541949722072815
Piney River,2002,Battle Run NWIS,365,104.41752232058022,-1.6251065784579042
Piney River,2003,Battle Run NWIS,365,673.75588520785,1.9406181192035192
Piney River,2004,Battle Run NWIS,366,502.07323713497914,0.8653821992334438
Piney River,2005,Battle Run NWIS,365,382.4662603438843,0.11629241544687581
Piney River,2006,Battle Run NWIS,365,301.40408949656387,-0.3913940562156211
Piney River,2007,Battle Run NWIS,365,327.13638592529253,-0.23023455795495296
Piney River,2008,Battle Run NWIS,366,218.3852960611311,-0.9113347126322479
Piney River,2009,Battle Run NWIS,365,191.67102699368286,-1.0786442340049252
Piney River,2010,Battle Run NWIS,365,433.27144502746614,0.4344815866047786
Piney River,2011,Battle Run NWIS,365,350.29988293819105,-0.08516326333106905
Piney River,2012,Battle Run NWIS,366,209.75367601720347,-0.9653939202629767
Piney River,2013,Battle Run NWIS,365,372.77614555777234,0.05560393234380588
Piney River,2014,Battle Run NWIS,365,493.9981414798858,0.8148084633142187
Piney River,2015,Battle Run NWIS,365,349.7360358600299,-0.08869459651246134
Piney River,2016,Battle Run NWIS,366,417.77992962222237,0.33745935398277366
Piney River,2017,Battle Run NWIS,365,246.37078399570623,-0.7360636400869771
Piney River,2018,Battle Run NWIS,365,687.8721995575269,2.0290275677805183
Piney River,2019,Battle Run NWIS,365,724.0056439059965,2.255328697870401
Piney River,2020,Battle Run NWIS,366,292.78308735216007,-0.44538676471501193
Piney River,2021,Battle Run NWIS,365,365.1352853797564,0.007749781588952018
Piney River,2022,Battle Run NWIS,365,224.20646794144523,-0.8748771371446145
Piney River,2023,Battle Run NWIS,365,199.71793029486807,-1.0282470647447701
Piney River,2024,Battle Run NWIS,366,234.52084199266412,-0.8102789637335748
Shields River,1971,Yellowstone River Livingston NWIS,365,508.56627968052663,1.5292080186233625
Shields River,1972,Yellowstone River Livingston NWIS,366,460.82418058216587,1.0193935220824994
Shields River,1973,Yellowstone River Livingston NWIS,365,337.6183344942081,-0.29626137329221863
Shields River,1974,Yellowstone River Livingston NWIS,365,485.13814869711643,1.2790304808156299
Shields River,1975,Yellowstone River Livingston NWIS,365,412.2654088129857,0.500858178021826
Shields River,1976,Yellowstone River Livingston NWIS,366,463.4338088885955,1.0472604648086703
Shields River,1977,Yellowstone River Livingston NWIS,365,258.3026590767721,-1.1432346294833575
Shields River,1978,Yellowstone River Livingston NWIS,365,437.59024212308736,0.7712896711442988
Shields River,1979,Yellowstone River Livingston NWIS,365,332.7627233344467,-0.34811206703134134
Shields River,1980,Yellowstone River Livingston NWIS,366,310.3364129628626,-0.5875916531258468
Shields River,1981,Yellowstone River Livingston NWIS,365,334.21863523262095,-0.33256509684374364
Shields River,1982,Yellowstone River Livingston NWIS,365,435.46157283582437,0.7485586542538989
Shields River,1983,Yellowstone River Livingston NWIS,365,356.3619033495628,-0.09610798037825377
Shields River,1984,Yellowstone River Livingston NWIS,366,402.7020920325429,0.3987362013647579
Shields River,1985,Yellowstone River Livingston NWIS,365,301.37083673334206,-0.68333065115848
Shields River,1986,Yellowstone River Livingston NWIS,365,405.85971568160704,0.43245491799672997
Shields River,1987,Yellowstone River Livingston NWIS,365,239.45800370190236,-1.344467475836256
Shields River,1988,Yellowstone River Livingston NWIS,366,243.75497883276444,-1.2985821826807176
Shields River,1989,Yellowstone River Livingston NWIS,365,314.2402147362422,-0.5459048657143737
Shields River,1990,Yellowstone River Livingston NWIS,365,330.8375571719971,-0.3686699737091492
Shields River,1991,Yellowstone River Livingston NWIS,365,367.2973366238449,0.02066615637887415
Shields River,1992,Yellowstone River Livingston NWIS,366,324.67659982470764,-0.43445982014524687
Shields River,1993,Yellowstone River Livingston NWIS,365,411.60515423025805,0.4938076426654187
Shields River,1994,Yellowstone River Livingston NWIS,365,280.07084300288153,-0.9107828534097029
