site_name,basin,subbasin,region,WaterYear,precip_total,sampsize,precip_total_z
Rapidan River NWIS,Staunton River,Staunton River,Shen,1984,1561.39,366,1.7542425874392187
Rapidan River NWIS,Staunton River,Staunton River,Shen,1985,915.42,364,-0.8036799020576612
Rapidan River NWIS,Staunton River,Staunton River,Shen,1986,1013.5,365,-0.4153011263097874
Rapidan River NWIS,Staunton River,Staunton River,Shen,1987,1215.87,365,0.3860468839685277
Rapidan River NWIS,Staunton River,Staunton River,Shen,1988,890.75,366,-0.9013685684289909
Rapidan River NWIS,Staunton River,Staunton River,Shen,1989,1192.32,364,0.29279321177376416
Rapidan River NWIS,Staunton River,Staunton River,Shen,1990,946.79,365,-0.6794604669515152
Rapidan River NWIS,Staunton River,Staunton River,Shen,1991,1129.46,365,0.04387916361398342
Rapidan River NWIS,Staunton River,Staunton River,Shen,1992,1057.99,366,-0.23912890227815095
Rapidan River NWIS,Staunton River,Staunton River,Shen,1993,1216.76,364,0.38957112041240666
Rapidan River NWIS,Staunton River,Staunton River,Shen,1994,1347.94,365,0.9090198133427297
Rapidan River NWIS,Staunton River,Staunton River,Shen,1995,1048.94,365,-0.2749652391512977
Rapidan River NWIS,Staunton River,Staunton River,Shen,1996,1524.17,366,1.6068582273929721
Rapidan River NWIS,Staunton River,Staunton River,Shen,1997,1065.09,364,-0.21101420705170448
Rapidan River NWIS,Staunton River,Staunton River,Shen,1998,1349.91,365,0.9168206513140115
Rapidan River NWIS,Staunton River,Staunton River,Shen,1999,1013.16,365,-0.4166474638276737
Rapidan River NWIS,Staunton River,Staunton River,Shen,2000,1034.05,366,-0.3339269028022549
Rapidan River NWIS,Staunton River,Staunton River,Shen,2001,844.76,364,-1.083480516804243
Rapidan River NWIS,Staunton River,Staunton River,Shen,2002,707.1,365,-1.6285888188989845
Rapidan River NWIS,Staunton River,Staunton River,Shen,2003,1769.44,365,2.5780823538986914
Rapidan River NWIS,Staunton River,Staunton River,Shen,2004,1276.39,366,0.6256949621522695
Rapidan River NWIS,Staunton River,Staunton River,Shen,2005,907.19,364,-0.8362691896229646
Rapidan River NWIS,Staunton River,Staunton River,Shen,2006,1127.38,365,0.035642745857503516
Rapidan River NWIS,Staunton River,Staunton River,Shen,2007,1013.26,365,-0.4162514822047659
Rapidan River NWIS,Staunton River,Staunton River,Shen,2008,1228.91,366,0.43768288759569274
