site_name,agneventid,eventlen,mindate,isevent,n_little,n_big,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Grouse Creek,2015_4,7,2014-08-21,1,7,7,3.043111857762565,4.983572848316164,1.1128806292805007,1.6061470732208438,0.43473026539465215,0.7119389783308805,-0.837303777852878,-0.3430076680731483,-0.9448842441659495,-0.8105606296857214,-0.7370297445034538,-0.43671407873260343,-0.3195390429538595,-0.2557846333476024,3
Grouse Creek,2015_5,2,2014-08-28,2,2,2,0.6818659821430088,1.1522927890437655,-0.3829221475704172,0.14175368713728745,0.3409329910715044,0.5761463945218828,-1.0762999433265277,-0.5515710775392948,-1.093481623784502,-1.0762999433265277,-1.0591182628685536,-0.5666482498545646,-0.5515710775392948,-0.5364939052240248,3
Grouse Creek,2015_6,4,2014-08-30,1,4,4,1.6240077275364957,2.678490592244226,0.484897000063446,0.9852534240102255,0.4060019318841239,0.6696226480610565,-0.9145991123796596,-0.41103549894028474,-1.0837083773613205,-0.9252657840167088,-0.7369565100883595,-0.558115575091127,-0.42041445182234233,-0.2564522604837963,3
Grouse Creek,2015_7,24,2014-09-03,2,24,24,7.16971811183966,12.31368794362805,1.9698663388930222,2.51071148457526,0.2987382546599858,0.513070330984502,-1.2104197635436975,-0.669057174335133,-1.2943932050567515,-1.1959010584077112,-1.1234547138900557,-0.7427571266239049,-0.6563603321558324,-0.5930210863508844,3
Grouse Creek,2015_8,8,2014-09-27,1,8,8,3.2467674984622414,5.349790351264442,1.177659885525299,1.6770573734605536,0.4058459373077802,0.6687237939080553,-0.9243973076445131,-0.41953166825454585,-1.1723003410676822,-0.9217054809184179,-0.6431907157122613,-0.6358450710086293,-0.416506614571702,-0.17499821314027186,3
Grouse Creek,2015_9,11,2014-10-05,2,11,11,3.3059175293269454,5.674380120459301,1.195714053330557,1.735961327526436,0.3005379572115405,0.5158527382235728,-1.2027023830067547,-0.6623309262216331,-1.2371512922933052,-1.2146568305020418,-1.1573371287036587,-0.6922924840263641,-0.6729452380973104,-0.6224693202307607,3
Grouse Creek,2017_1,28,2016-06-24,2,28,28,9.894050525584177,20.966231368428176,2.2919336194818025,3.0429131133805463,0.35335894734229206,0.7487939774438633,-1.0665636177616542,-0.31593824949558047,-1.3585455621832034,-1.063627908124819,-0.7721214420882675,-0.627206613956852,-0.3193451037286682,-0.012109178252162579,3
Grouse Creek,2017_10,6,2016-10-02,1,6,6,1.4471520926763524,2.6127537932622857,0.3695975510935488,0.9604047583189165,0.24119201544605873,0.43545896554371427,-1.4295306781962507,-0.835923758433237,-1.5691193456706518,-1.4390808871347442,-1.2803918017833558,-0.9498401503238239,-0.8206947739409225,-0.7372363510349645,3
Grouse Creek,2017_11,2,2016-10-08,2,2,2,0.49345977675782376,0.8141699010066749,-0.7063139294935742,-0.20558621116391215,0.24672988837891188,0.40708495050333743,-1.405258791004811,-0.8987852499289912,-1.4914874654157277,-1.405258791004811,-1.3190301165938945,-0.9069326206706816,-0.8987852499289912,-0.890637879187301,3
Grouse Creek,2017_12,4,2016-10-10,1,4,4,1.219074323605045,1.668227688916419,0.19809181960442254,0.5117617987672459,0.30476858090126124,0.41705692222910473,-1.1908677600718094,-0.8762064769479724,-1.2714084985195657,-1.1639346471984595,-1.131873511922733,-0.9423356788845878,-0.8535180226040474,-0.8282280384864968,3
